albumID,albumName,releaseDate,albumCategory,artistName,labelName
1,Teenage Dream,1998/3/25,オリジナルアルバム,平家みちよ,ワーナーミュージック・ジャパン
2,ファーストタイム,1998/7/8,オリジナルアルバム,モーニング娘。,zetima
3,モーニング刑事。,1998/9/30,サウンドトラック,モーニング娘。&平家みちよ,zetima
4,中澤ゆうこ 第一章,1998/12/12,オリジナルアルバム,中澤ゆうこ,zetima
5,TANPOPO 1,1999/3/31,オリジナルアルバム,タンポポ,zetima
6,セカンドモーニング,1999/7/28,オリジナルアルバム,モーニング娘。,zetima
7,Taiyo & Ciscomoon 1,1999/10/27,オリジナルアルバム,太陽とシスコムーン,zetima
8,3rd -LOVEパラダイス-,2000/3/29,オリジナルアルバム,モーニング娘。,zetima
9,プッチベスト 〜黄青あか〜,2000/4/26,ベストアルバム,ハロー!プロジェクト,zetima
10,映画「ピンチランナー」 オリジナル･サウンドトラック,2000/7/5,サウンドトラック,モーニング娘。,zetima
11,For ourself 〜Single History〜,2000/9/13,オリジナルアルバム,平家みちよ,ワーナーミュージック・ジャパン
12,2nd STAGE,2000/9/27,オリジナルアルバム,T&Cボンバー,zetima
13,ベスト! モーニング娘。1,2001/1/31,ベストアルバム,モーニング娘。,zetima
204,Morning Musume。 Fc Special CD,2001/2/14,オリジナルアルバム,モーニング娘。,UP-FRONT INTERNATIONAL
14,Together! -タンポポ・プッチ・ミニ・ゆうこ-,2001/4/18,ベストアルバム,V.A.,zetima
15,モーニング娘。のミュージカル LOVEセンチュリー,2001/8/1,サウンドトラック,V.A.,hachama
16,ザ・童謡ポップス①クリスマスと冬のうた集,2001/11/29,カバーアルバム,V.A.,PICCOLO TOWN
17,FOLK SONGS,2001/11/29,カバーアルバム,市井紗耶香 with 中澤裕子,PICCOLO TOWN
18,カントリー娘。大全集①,2001/12/12,オリジナルアルバム,カントリー娘。,zetima
19,プッチベスト2 〜三・7・10〜,2001/12/19,ベストアルバム,ハロー!プロジェクト,zetima
20,ファーストKISS,2002/1/1,オリジナルアルバム,松浦亜弥,zetima
21,ザ・童謡ポップス②春のうた集,2002/2/20,カバーアルバム,V.A.,PICCOLO TOWN
22,4th「いきまっしょい!」,2002/3/27,オリジナルアルバム,モーニング娘。,zetima
23,FOLK SONGS 2,2002/5/22,カバーアルバム,中澤裕子/メロン記念日/松浦亜弥/石井リカ,PICCOLO TOWN
24,ザ・童謡ポップス③夏のうた集,2002/6/5,カバーアルバム,V.A.,PICCOLO TOWN
