groupID,groupName,formDate,dissolveDate,isUnit
1,モーニング娘。,1997/9/14,2013/12/31,FALSE
2,タンポポ,1998/10/18,2009/3/31,TRUE
3,太陽とシスコムーン,1999/2/21,2000/2/29,FALSE
4,ココナッツ娘,1999/3/1,2000/4/30,FALSE
5,カントリー娘。,1999/4/27,2014/11/4,FALSE
7,メロン記念日,1999/8/10,2009/3/31,FALSE
6,プッチモニ,1999/10/3,2009/3/31,TRUE
3,T&Cボンバー,2000/3/1,2000/10/9,FALSE
4,ココナッツ娘。,2000/5/1,2008/4/30,FALSE
8,ミニモニ。,2000/6/25,2009/3/31,TRUE
9,シェキドル,2000/7/11,2001/12/31,FALSE
10,ハロー!プロジェクト・キッズ,2002/6/30,2005/6/10,FALSE
11,ZYX,2003/7/6,2004/1/14,TRUE
15,Gatas Brilhantes H.P.,2003/9/9,2015/3/15,
12,あぁ!,2003/9/12,2011/4/18,TRUE
13,モーニング娘。おとめ組,2003/9/18,2009/3/31,TRUE
14,モーニング娘。さくら組,2003/9/18,2009/3/31,TRUE
16,Berryz工房,2004/1/14,2015/3/3,FALSE
17,W,2004/3/6,2007/3/27,TRUE
18,ハロプロエッグ,2004/8/10,2011/11/30,FALSE
19,美勇伝,2004/8/10,2008/6/29,FALSE
20,℃-ute,2005/6/11,2017/6/12,FALSE
21,ともいき・木を植えたい,2005/10/8,2009/3/31,TRUE
22,THEポッシボー,2006/8/2,2007/9/30,FALSE
23,ハロプロ関西,2006/8/25,2008/4/11,FALSE
24,きら☆ぴか,2007/6/29,2007/9/28,TRUE
26,音楽ガッタス,2007/7/12,2010/3/31,TRUE
25,Buono!,2007/7/21,2017/5/22,TRUE
27,アテナ&ロビケロッツ,2007/9/12,2008/3/30,TRUE
28,MilkyWay,2008/3/3,2009/5/4,TRUE
23,SI☆NA,2008/4/12,2011/4/17,FALSE
31,しゅごキャラエッグ!,2008/9/20,2010/3/27,TRUE
29,ハロプロ台湾,2008/9/21,2012/5/1,FALSE
30,アイスクリー娘。,2008/9/21,2010/11/1,FALSE
32,ガーディアンズ4,2009/4/3,2010/3/27,TRUE
33,S/mileage,2009/4/4,2010/3/13,FALSE
34,大小姐,2009/9/15,2012/5/1,FALSE
33,スマイレージ,2010/3/14,2014/12/16,FALSE
35,リルぷりっ,2010/4/4,2012/3/28,TRUE
18,ハロプロ研修生,2011/12/1,,FALSE
36,Juice=Juice,2013/2/25,,FALSE
1,モーニング娘。 '14,2014/1/1,2014/12/31,FALSE
5,カントリー・ガールズ,2014/11/5,2019/12/26,FALSE
33,アンジュルム,2014/12/17,,FALSE
1,モーニング娘。 '15,2015/1/1,2015/12/31,FALSE
37,こぶしファクトリー,2015/1/2,2020/3/30,FALSE
38,つばきファクトリー,2015/4/29,,FALSE
1,モーニング娘。 '16,2016/1/1,2016/12/31,FALSE
39,ハロプロ研修生北海道,2016/7/30,,FALSE
1,モーニング娘。 '17,2017/1/1,2017/12/31,FALSE
1,モーニング娘。 '18,2018/1/1,2018/12/31,FALSE
40,BEYOOOOONDS,2018/10/19,,FALSE
41,CHICA#TETSU,2018/10/19,,TRUE
42,雨ノ森 川海,2018/10/19,,TRUE
1,モーニング娘。 '19,2019/1/1,2019/12/31,FALSE
1,モーニング娘。 '20,2020/1/1,2020/12/31,FALSE
1,モーニング娘。 '21,2021/1/1,2021/12/31,FALSE
43,SeasoningS,2021/1/24,,TRUE
44,OCHA NORMA,2021/12/12,,FALSE
1,モーニング娘。 '22,2022/1/1,2022/12/31,FALSE
1,モーニング娘。 '23,2023/1/1,2023/12/31,FALSE
1,モーニング娘。 '23,2024/1/1,,FALSE
