memberID,groupID,joinDate,gradDate
1,1,1997/9/14,2001/4/15
2,1,1997/9/14,2000/1/7
3,1,1997/9/14,2005/1/30
4,1,1997/9/14,2004/1/25
5,1,1997/9/14,1999/4/18
7,1,1998/5/3,2003/5/5
8,1,1998/5/3,2005/4/14
9,1,1998/5/3,2000/5/21
2,2,1998/10/18,2000/1/7
3,2,1998/10/18,2002/9/23
8,2,1998/10/18,2002/9/23
10,3,1999/2/21,2000/10/9
11,3,1999/2/21,2000/10/9
12,3,1999/2/21,2000/10/9
13,3,1999/2/21,2000/10/9
14,4,1999/3/1,2008/4/30
15,4,1999/3/1,2004/5/2
16,4,1999/3/1,2000/1/1
17,4,1999/3/1,2000/1/1
18,4,1999/3/1,2001/5/1
19,5,1999/4/27,2002/10/13
20,5,1999/4/27,1999/7/16
21,5,1999/4/27,1999/8/23
23,7,1999/8/10,2009/3/31
24,7,1999/8/10,2009/3/31
25,7,1999/8/10,2009/3/31
26,7,1999/8/10,2009/3/31
27,1,1999/8/22,2002/9/23
7,6,1999/10/3,2002/9/23
9,6,1999/10/3,2000/5/21
27,6,1999/10/3,2002/9/23
28,4,2000/1/1,2002/2/1
29,1,2000/4/16,2005/5/7
30,1,2000/4/16,2007/5/6
31,1,2000/4/16,2004/8/1
32,1,2000/4/16,2004/8/1
34,5,2000/5/1,2007/1/28
29,2,2000/6/1,2009/3/31
32,2,2000/6/1,2002/9/23
8,8,2000/6/25,2003/3/29
31,8,2000/6/25,2009/3/31
32,8,2000/6/25,2007/3/27
30,6,2000/6/26,2009/3/31
35,9,2000/7/11,2001/12/31
36,9,2000/7/11,2001/8/5
15,8,2000/10/1,2004/5/2
37,9,2001/3/1,2001/12/31
39,9,2001/8/5,2001/12/31
40,1,2001/8/26,2011/9/30
41,1,2001/8/26,2006/7/23
42,1,2001/8/26,2006/8/27
43,1,2001/8/26,2012/5/18
45,5,2002/1/2,2009/3/31
47,10,2002/6/30,2004/1/13
48,10,2002/6/30,2004/1/13
49,10,2002/6/30,2004/1/13
50,10,2002/6/30,2004/1/13
51,10,2002/6/30,2004/1/13
52,10,2002/6/30,2004/1/13
53,10,2002/6/30,2004/1/13
54,10,2002/6/30,2004/1/13
55,10,2002/6/30,2005/6/10
56,10,2002/6/30,2005/6/10
57,10,2002/6/30,2005/6/10
58,10,2002/6/30,2005/6/10
59,10,2002/6/30,2005/6/10
60,10,2002/6/30,2005/6/10
61,10,2002/6/30,2005/6/10
42,6,2002/7/1,2009/3/31
14,6,2002/7/1,2008/4/30
41,2,2002/9/23,2006/7/23
43,2,2002/9/23,2009/3/31
26,2,2002/9/23,2009/3/31
44,1,2003/1/7,2007/6/1
62,1,2003/1/19,2010/12/15
63,1,2003/1/19,2014/11/26
64,1,2003/1/19,2013/5/21
40,8,2003/3/29,2009/3/31
65,5,2003/4/27,2007/1/28
8,11,2003/7/6,2004/1/14
55,11,2003/7/6,2004/1/14
47,11,2003/7/6,2004/1/14
56,11,2003/7/6,2004/1/14
48,11,2003/7/6,2004/1/14
57,11,2003/7/6,2004/1/14
3,15,2003/9/9,2003/10/29
40,15,2003/9/9,2003/10/29
41,15,2003/9/9,2006/7/23
34,15,2003/9/9,2007/1/26
45,15,2003/9/9,2009/3/31
65,15,2003/9/9,2007/1/26
23,15,2003/9/9,2006/3/19
24,15,2003/9/9,2003/10/29
25,15,2003/9/9,2003/10/29
26,15,2003/9/9,2009/3/31
27,15,2003/9/9,2005/9/14
38,15,2003/9/9,2004/3/27
64,12,2003/9/12,2009/7/15
51,12,2003/9/12,2011/4/18
59,12,2003/9/12,2011/4/18
3,13,2003/9/18,2005/1/30
29,13,2003/9/18,2005/5/7
31,13,2003/9/18,2004/8/1
42,13,2003/9/18,2006/8/27
44,13,2003/9/18,2007/6/1
63,13,2003/9/18,2009/3/31
64,13,2003/9/18,2009/3/31
4,14,2003/9/18,2004/1/25
8,14,2003/9/18,2005/4/14
30,14,2003/9/18,2007/5/6
32,14,2003/9/18,2004/8/1
40,14,2003/9/18,2009/3/31
41,14,2003/9/18,2006/7/23
43,14,2003/9/18,2009/3/31
62,14,2003/9/18,2009/3/31
30,15,2003/10/29,2009/3/31
29,15,2003/10/29,2009/3/31
31,15,2003/10/29,2009/3/31
42,15,2003/10/29,2004/3/27
47,16,2004/1/14,2015/3/3
48,16,2004/1/14,2015/3/3
49,16,2004/1/14,2015/3/3
50,16,2004/1/14,2015/3/3
51,16,2004/1/14,2015/3/3
52,16,2004/1/14,2005/10/2
53,16,2004/1/14,2015/3/3
54,16,2004/1/14,2015/3/3
25,15,2004/2/1,2004/3/27
44,15,2004/2/1,2009/3/31
31,17,2004/3/6,2007/3/27
32,17,2004/3/6,2007/3/27
67,18,2004/8/10,2006/1/1
69,18,2004/8/10,2006/8/1
70,18,2004/8/10,2006/8/1
71,18,2004/8/10,2006/8/1
72,18,2004/8/10,2006/9/30
73,18,2004/8/10,2006/9/30
74,18,2004/8/10,2006/9/30
75,18,2004/8/10,2008/1/29
76,18,2004/8/10,2009/9/23
77,18,2004/8/10,2010/3/27
78,18,2004/8/10,2010/3/27
79,18,2004/8/10,2010/3/27
80,18,2004/8/10,2010/3/27
81,18,2004/8/10,2011/3/9
82,18,2004/8/10,2011/1/17
83,18,2004/8/10,2011/4/18
84,18,2004/8/10,2011/3/9
