memberID,memberName,HPjoinDate,debutDate,HPgradDate,memberKana,birthDate
1,中澤裕子,1997/9/14,1998/1/28,2009/3/31,なかざわゆうこ,1973/6/19
2,石黒彩,1997/9/14,1998/1/28,2000/1/7,いしぐろあや,1978/5/12
3,飯田圭織,1997/9/14,1998/1/28,2009/3/31,いいだかおり,1981/8/8
4,安倍なつみ,1997/9/14,1998/1/28,2009/3/31,あべなつみ,1981/8/10
5,福田明日香,1997/9/14,1998/1/28,1999/4/18,ふくだあすか,1984/12/17
6,平家みちよ,1997/11/5,1997/11/5,2002/11/7,へいけみちよ,1979/4/6
7,保田圭,1998/5/3,1998/5/3,2009/3/31,やすだけい,1980/12/6
8,矢口真里,1998/5/3,1998/5/3,2005/4/14,やぐちまり,1983/1/20
9,市井紗耶香,1998/5/3,1998/5/3,2000/5/21,いちいさやか,1983/12/31
10,信田美帆,1999/2/21,1999/4/21,2000/10/9,しのだみほ,1972/5/18
11,稲葉貴子,1999/2/21,1999/4/21,2009/3/31,いなばあつこ,1974/3/13
12,RuRu,1999/2/21,1999/4/21,2000/10/9,るる,1976/3/18
13,小湊美和,1999/2/21,1999/4/21,2000/10/9,こみなとみわ,1977/2/15
14,アヤカ,1999/3/1,1999/7/23,2008/4/30,あやか,1981/10/30
15,ミカ・タレッサ・トッド,1999/3/1,1999/7/23,2004/5/2,みかたれっさとっど,1984/5/28
16,チェルシー・チン,1999/3/1,1999/7/23,2000/1/1,ちぇるしーちん,1982/9/26
17,エイプリル・ババラン,1999/3/1,1999/7/23,2000/1/1,えいぷりるばばらん,1983/4/15
18,ダニエル・デラウニー,1999/3/1,1999/7/23,2001/5/1,だにえるでらうにー,1983/9/6
19,戸田鈴音,1999/4/27,,2000/4/30,とだりんね,1981/2/6
20,柳原尋美,1999/4/27,,1999/7/16,やなぎはらひろみ,1979/10/19
21,小林梓,1999/4/27,,1999/8/23,こばやしあずさ,
22,三佳千夏,1999/5/11,1999/8/4,2000/9/30,みよしちなつ,1979/8/14
23,斉藤瞳,1999/8/10,2000/2/19,2009/3/31,さいとうひとみ,1981/10/31
24,村田めぐみ,1999/8/10,2000/2/19,2009/3/31,むらためぐみ,1981/3/3
25,大谷雅恵,1999/8/10,2000/2/19,2009/3/31,おおたにまさえ,1982/2/25
26,柴田あゆみ,1999/8/10,2000/2/19,2009/3/31,しばたあゆみ,1984/2/22
27,後藤真希,1999/8/22,1999/8/22,2007/10/28,ごとうまき,1985/9/23
28,レフア・サンボ,2000/1/1,2000/1/1,2002/2/1,れふあさんぼ,1983/2/7
29,石川梨華,2000/4/16,2000/4/16,2009/3/31,いしかわりか,1985/1/19
30,吉澤ひとみ,2000/4/16,2000/4/16,2009/3/31,よしざわひとみ,1985/4/12
31,辻希美,2000/4/16,2000/4/16,2009/3/31,つじのぞみ,1987/6/17
32,加護亜依,2000/4/16,2000/4/16,2007/3/27,かごあい,1988/2/7
33,前田有紀,2000/4/21,2000/4/21,2009/3/31,まえだゆき,1979/8/28
19,りんね,2000/5/1,2001/4/18,2002/10/13,りんね,1981/2/6
34,あさみ,2000/5/1,2001/4/18,2007/1/28,あさみ,1984/7/17
35,北上アミ,2000/7/11,2001/12/5,2001/12/31,きたがみあみ,1980/7/22
36,大木衣吹,2000/7/11,,2001/8/5,おおきいぶき,1982/3/2
38,松浦亜弥,2000/10/2,2001/4/11,2009/3/31,まつうらあや,1986/6/25
37,末永真己,2001/3/1,2001/12/5,2001/12/31,すえながまみ,1980/10/23
39,荒井紗紀,2001/8/5,2001/12/5,2001/12/31,あらいさき,1978/3/8
40,高橋愛,2001/8/26,2001/8/26,2011/9/30,たかはしあい,1986/9/14
41,紺野あさ美,2001/8/26,2001/8/26,2006/7/23,こんのあさみ,1987/5/7
42,小川麻琴,2001/8/26,2001/8/26,2009/3/31,おがわまこと,1987/10/29
43,新垣里沙,2001/8/26,2001/8/26,2012/5/18,にいがきりさ,1988/10/20
44,藤本美貴,2002/1/2,2002/3/13,2009/3/31,ふじもとみき,1985/2/26
45,里田まい,2002/1/2,2002/1/2,2009/3/31,さとだまい,1984/3/29
46,石井リカ,2002/1/2,,2002/12/31,いしいりか,1980/2/26
47,清水佐紀,2002/6/30,2003/8/6,2015/3/3,しみずさき,1991/11/22
48,嗣永桃子,2002/6/30,2003/8/6,2017/6/30,つぐながももこ,1992/3/6
49,徳永千奈美,2002/6/30,2004/3/3,2015/3/3,とくながちなみ,1992/5/22
50,須藤茉麻,2002/6/30,2004/3/3,2015/3/3,すどうまあさ,1992/7/3
51,夏焼雅,2002/6/30,2003/10/29,2015/3/3,なつやきみやび,1992/8/25
52,石村舞波,2002/6/30,2004/3/3,2005/10/2,いしむらまいは,1992/11/20
53,熊井友理奈,2002/6/30,2004/3/3,2015/3/3,くまいゆりな,1993/8/3
54,菅谷梨沙子,2002/6/30,2004/3/3,2015/3/3,すがやりさこ,1994/4/4
55,梅田えりか,2002/6/30,2003/8/6,2009/10/25,うめだえりか,1991/5/24
56,矢島舞美,2002/6/30,2003/8/6,2017/6/12,やじままいみ,1992/2/7
57,村上愛,2002/6/30,2003/8/6,2006/10/31,むらかみめぐみ,1992/6/6
58,中島早貴,2002/6/30,2007/2/21,2017/6/12,なかじまさき,1994/2/5
59,鈴木愛理,2002/6/30,2003/10/29,2017/6/12,すずきあいり,1994/4/12
60,岡井千聖,2002/6/30,2007/2/21,2017/6/12,おかいちさと,1994/6/21
61,萩原舞,2002/6/30,2007/2/21,2017/6/12,はぎわらまい,1996/2/7
62,亀井絵里,2003/1/19,2003/1/19,2010/12/15,かめいえり,1988/12/23
63,道重さゆみ,2003/1/19,2003/1/19,2014/11/26,みちしげさゆみ,1989/7/13
64,田中れいな,2003/1/19,2003/1/19,2013/5/21,たなかれいな,1989/11/11
65,みうな,2003/4/27,2003/4/27,2007/1/28,みうな,1987/2/12
66,三好絵梨香,2003/10/6,2004/9/23,2009/3/31,みよしえりか,1984/11/8
67,有原栞菜,2004/8/10,2007/2/21,2009/7/9,ありはらかんな,1993/6/15
68,岡田唯,2004/8/10,2004/9/23,2009/3/31,おかだゆい,1987/12/28
69,諸塚香奈実,2004/8/10,,2007/9/30,もろづかかなみ,1989/11/1
70,橋本愛奈,2004/8/10,,2007/9/30,はしもとあいな,1992/10/3
71,秋山ゆりか,2004/8/10,,2007/9/30,あきやまゆりか,1992/10/19
72,大瀬楓,2004/8/10,,2007/9/30,おおせかえで,1991/4/29
73,ストューカス・ロビン・翔子,2004/8/10,,2006/9/30,すとゅーかすろびんしょうこ,1993/3/15
74,後藤夕貴,2004/8/10,,2007/9/30,ごとうゆき,1993/6/12
75,是永美記,2004/8/10,2007/9/12,2009/3/31,これながみき,1985/11/4
76,能登有沙,2004/8/10,2007/9/12,2009/8/10,のとありさ,1988/12/26
77,和田彩花,2004/8/10,2008/12/10,2019/6/18,わだあやか,1994/8/1
78,前田憂佳,2004/8/10,2008/12/10,2011/12/31,まえだゆうか,1994/12/28
79,福田花音,2004/8/10,2008/12/10,2015/11/29,ふくだかのん,1995/3/12
80,小川紗季,2004/8/10,2010/5/26,2011/8/24,おがわさき,1996/11/18
