singleID,singleName,releaseDate,singleCategory,artistName,labelName
1,愛の種,1997/11/3,インディーズシングル,モーニング娘。,URANEBA RECORD
2,GET,1997/11/5,シングル,平家みちよ,ワーナーミュージック・ジャパン
3,モーニングコーヒー,1998/1/28,シングル,モーニング娘。,ONE UP MUSIC
4,卒業 〜TOP OF THE WORLD〜,1998/2/15,シングル,平家みちよ,ワーナーミュージック・ジャパン
5,サマーナイトタウン,1998/5/27,シングル,モーニング娘。,zetima
6,ダイキライ,1998/7/1,シングル,平家みちよ,ワーナーミュージック・ジャパン
7,カラスの女房,1998/8/5,シングル,中澤裕子,zetima
8,抱いてHOLD ON ME!,1998/9/9,シングル,モーニング娘。,zetima
9,だけど 愛しすぎて,1998/10/25,シングル,平家みちよ,ワーナーミュージック・ジャパン
10,ラストキッス,1998/11/18,シングル,タンポポ,zetima
11,お台場ムーンライトセレナーデ,1998/12/2,シングル,中澤ゆうこ&高山厳,zetima
12,Memory 青春の光,1999/2/10,シングル,モーニング娘。,zetima
13,アナタの夢になりたい,1999/2/10,シングル,平家みちよ,ワーナーミュージック・ジャパン
14,Motto,1999/3/10,シングル,タンポポ,zetima
15,月と太陽,1999/4/21,シングル,太陽とシスコムーン,"	zetima"
16,真夏の光線,1999/5/12,シングル,モーニング娘。,zetima
17,純情行進曲,1999/6/9,シングル,中澤ゆうこ,zetima
18,たんぽぽ,1999/6/16,シングル,タンポポ,zetima
19,ガタメキラ,1999/6/23,シングル,太陽とシスコムーン,"	zetima"
20,ふるさと,1999/7/14,シングル,モーニング娘。,zetima
21,ハレーションサマー/サマーナイトタウン（English Version）,1999/7/23,シングル,ココナッツ娘,SME Records
22,二人の北海道,1999/7/23,インディーズシングル,カントリー娘。,SPREE RECORD
23,宇宙でLa Ta Ta,1999/7/28,シングル,太陽とシスコムーン,"	zetima"
24,scene,1999/7/28,シングル,平家みちよ,ワーナーミュージック・ジャパン
25,Unchain My Heart,1999/8/4,シングル,三佳千夏,zetima
26,DANCE & CHANCE,1999/8/25,シングル,ココナッツ娘,SME Records
27,Everyday Everywhere,1999/8/25,シングル,太陽とシスコムーン,"	zetima"
28,LOVEマシーン,1999/9/9,シングル,モーニング娘。,zetima
29,Magic of Love,1999/9/29,シングル,太陽とシスコムーン,"	zetima"
30,聖なる鐘がひびく夜,1999/10/20,シングル,タンポポ,zetima
31,"Love, Yes I do!",1999/11/10,シングル,三佳千夏,zetima
32,ちょこっとLOVE,1999/11/25,シングル,プッチモニ,zetima
33,雪景色,1999/11/30,インディーズシングル,カントリー娘。,SPREE RECORD
34,丸い太陽 -winter ver.-,1999/12/8,シングル,太陽とシスコムーン,"	zetima"
35,恋のダンスサイト,2000/1/26,シングル,モーニング娘。,zetima
36,甘いあなたの味,2000/2/19,シングル,メロン記念日,zetima
37,赤い日記帳,2000/3/8,シングル,あか組4,zetima
38,黄色いお空でBOOM BOOM BOOM,2000/3/8,シングル,黄色5,zetima
39,青いスポーツカーの男,2000/3/8,シングル,青色7,zetima
40,DON'T STOP 恋愛中,2000/4/19,シングル,T&Cボンバー,"	zetima"
41,鳴きうさぎ,2000/4/21,シングル,前田有紀,テイチクエンタテインメント
42,北海道シャララ,2000/4/23,インディーズシングル,カントリー娘。,SPREE RECORD
43,常夏娘,2000/5/17,シングル,ココナッツ娘。,SME Records
44,ハッピーサマーウェディング,2000/5/17,シングル,モーニング娘。,zetima
45,ワンルーム夏の恋物語,2000/5/17,シングル,平家みちよ,ワーナーミュージック・ジャパン
46,あなたのシャツと Love song,2000/5/31,シングル,三佳千夏,zetima
47,告白記念日,2000/6/28,シングル,メロン記念日,zetima
